measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,538,Iowa,1,Male,22,All ages,725,Physical violence by firearm,1,Number,1990,22.16296338,24.04808991,20.2809551
1,Deaths,538,Iowa,2,Female,22,All ages,725,Physical violence by firearm,1,Number,1990,10.76648075,11.71038192,9.935334936
1,Deaths,538,Iowa,3,Both,22,All ages,725,Physical violence by firearm,1,Number,1990,32.92944414,35.075826,30.78337029
1,Deaths,538,Iowa,1,Male,22,All ages,725,Physical violence by firearm,2,Percent,1990,0.00171057,0.001846644,0.001570091
1,Deaths,538,Iowa,2,Female,22,All ages,725,Physical violence by firearm,2,Percent,1990,0.000821525,0.000881312,0.000765998
1,Deaths,538,Iowa,3,Both,22,All ages,725,Physical violence by firearm,2,Percent,1990,0.001263567,0.001349768,0.001180881
1,Deaths,538,Iowa,1,Male,22,All ages,725,Physical violence by firearm,3,Rate,1990,1.611953168,1.749061894,1.475071237
1,Deaths,538,Iowa,2,Female,22,All ages,725,Physical violence by firearm,3,Rate,1990,0.737987547,0.802687175,0.681016724
1,Deaths,538,Iowa,3,Both,22,All ages,725,Physical violence by firearm,3,Rate,1990,1.162019792,1.237761678,1.086288776
1,Deaths,570,Washington,1,Male,22,All ages,725,Physical violence by firearm,1,Number,1990,114.3792012,120.9353502,106.8973302
1,Deaths,570,Washington,2,Female,22,All ages,725,Physical violence by firearm,1,Number,1990,32.49760079,34.75230816,30.25953055
1,Deaths,570,Washington,3,Both,22,All ages,725,Physical violence by firearm,1,Number,1990,146.876802,154.5875303,138.747664
1,Deaths,570,Washington,1,Male,22,All ages,725,Physical violence by firearm,2,Percent,1990,0.005949534,0.006274209,0.005602719
1,Deaths,570,Washington,2,Female,22,All ages,725,Physical violence by firearm,2,Percent,1990,0.001884049,0.001998914,0.001772218
1,Deaths,570,Washington,3,Both,22,All ages,725,Physical violence by firearm,2,Percent,1990,0.004027019,0.004227836,0.003816734
